disaster,subtype,n_buildings,pixel_area
guatemala-volcano,no-damage,639,300159.15949307213
guatemala-volcano,minor-damage,9,5057.046508008918
guatemala-volcano,major-damage,9,2482.367652406403
guatemala-volcano,destroyed,25,10306.181782748812
guatemala-volcano,un-classified,174,60706.18675372532
hurricane-florence,no-damage,4689,4632061.306278823
hurricane-florence,minor-damage,132,393819.1335046383
hurricane-florence,major-damage,1245,1156172.2085458604
hurricane-florence,destroyed,54,52552.55779228272
hurricane-florence,un-classified,326,197427.92180629796
hurricane-harvey,no-damage,11423,22313833.530928485
hurricane-harvey,minor-damage,2663,4762958.926005558
hurricane-harvey,major-damage,8238,12011720.603784613
hurricane-harvey,destroyed,401,275408.0849768894
hurricane-harvey,un-classified,289,382275.2905435917
hurricane-matthew,no-damage,2515,1042170.1878597039
hurricane-matthew,minor-damage,6548,2874537.4776431154
hurricane-matthew,major-damage,1945,863126.5148317395
hurricane-matthew,destroyed,2147,464278.5128755789
hurricane-matthew,un-classified,784,163003.9743024236
hurricane-michael,no-damage,14588,16378761.920346374
hurricane-michael,minor-damage,5207,6598822.192618712
hurricane-michael,major-damage,1902,4141763.707562184
hurricane-michael,destroyed,757,596834.84489309
hurricane-michael,un-classified,232,111357.33891273101
mexico-earthquake,no-damage,32066,32216416.436508607
mexico-earthquake,minor-damage,110,166873.81105014143
mexico-earthquake,major-damage,18,25153.23476742061
mexico-earthquake,destroyed,2,3699.4108910240157
mexico-earthquake,un-classified,75,54510.22574343304
midwest-flooding,no-damage,8128,8085846.146870905
midwest-flooding,minor-damage,149,117016.62177935967
midwest-flooding,major-damage,119,144633.48806661306
midwest-flooding,destroyed,75,41285.490041526304
midwest-flooding,un-classified,285,125465.36237060206
palu-tsunami,no-damage,25455,14808173.003554445
palu-tsunami,minor-damage,1,831.4207079555346
palu-tsunami,major-damage,571,608567.8823142806
palu-tsunami,destroyed,4966,2145536.923313731
palu-tsunami,un-classified,401,209578.3110210088
santa-rosa-wildfire,no-damage,9285,10560386.820209168
santa-rosa-wildfire,minor-damage,78,96842.70212992161
santa-rosa-wildfire,major-damage,63,133258.46727441155
santa-rosa-wildfire,destroyed,3471,4369969.576371875
santa-rosa-wildfire,un-classified,53,13065.92875361743
socal-fire,no-damage,8638,11218911.518505735
socal-fire,minor-damage,83,61592.994347714215
socal-fire,major-damage,51,58327.04751641795
socal-fire,destroyed,1329,959111.8612400946
socal-fire,un-classified,374,138104.34414368335
